City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Prainha,BR,76.17,broken clouds,-1.8,-53.48,Casa Rocha
253,Tan An,VN,78.82,overcast clouds,10.5333,106.4167,Mỹ Đình Hotel
254,Sibolga,ID,76.84,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
256,Banjar,ID,77.92,overcast clouds,-8.19,114.9675,The Hamsa Resort
257,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
258,Laem Sing,TH,86.14,light rain,12.4816,102.0738,Laemsing Whitehouse Resort
259,Porto Walter,BR,77.59,heavy intensity rain,-8.2686,-72.7439,Secretaria de saúde
261,Eyl,SO,83.68,scattered clouds,7.9803,49.8164,Amiin Hotel
263,Chachoengsao,TH,83.68,moderate rain,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
264,Kavieng,PG,82.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
273,Minab,IR,79.16,clear sky,27.1467,57.0801,Bam campground
275,Patos,BR,81.91,overcast clouds,-7.0244,-37.28,Hotel JK
280,Bandarbeyla,SO,83.53,broken clouds,9.4942,50.8122,JABIR HOTEL
283,Mount Pleasant,US,79.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
286,Kodinar,IN,81.3,clear sky,20.7903,70.7031,residency of N.B vadhel
290,San Patricio,US,89.19,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
297,Vao,NC,75.31,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
298,Puerto Maldonado,PE,78.76,overcast clouds,-12.6,-69.1833,Wasai Hotel
300,Salinopolis,BR,77.7,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
301,Ugoofaaru,MV,84.6,overcast clouds,5.6667,73.0,Ungoofaaru Inn
302,Kavaratti,IN,84.65,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
305,Hambantota,LK,81.05,overcast clouds,6.1241,81.1185,Bungalow 63
308,Araouane,ML,83.82,clear sky,18.9048,-3.5265,
310,Kaduna,NG,79.74,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
311,Buraydah,SA,80.26,clear sky,26.326,43.975,Mövenpick Qassim
313,Pandaria,IN,85.24,few clouds,22.2333,81.4167,Sonu Rajak
322,Takoradi,GH,80.76,broken clouds,4.8845,-1.7554,Raybow International Hotel
324,Araguacu,BR,76.17,clear sky,-12.9306,-49.8264,Hotel Tocantins
326,Champerico,GT,86.67,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
327,Potiskum,NG,86.22,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
334,Adrar,MR,80.85,clear sky,20.5022,-10.0711,
336,Diffa,NE,89.96,overcast clouds,13.3154,12.6113,ProDAF/Diffa
339,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
340,Aitape,PG,80.11,overcast clouds,-3.1374,142.3475,
341,Cabo San Lucas,MX,85.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
345,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
346,Jalu,LY,78.39,scattered clouds,29.0331,21.5482,صاحبة الفخامة
