City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
158,Nouadhibou,20.931,-17.0347,64.98,overcast clouds,87,99,23.94,MR
159,Dakar,14.6937,-17.4441,70.68,scattered clouds,83,47,15.84,SN
160,Nantucket,41.2835,-70.0995,53.71,clear sky,47,0,3.44,US
161,Tiksi,71.6872,128.8694,34.02,overcast clouds,92,100,14.2,RU
162,Mayskiy,47.6931,40.1025,49.41,overcast clouds,66,98,11.59,RU
163,Kokopo,-4.352,152.2633,79.75,overcast clouds,78,86,1.3,PG
164,Mackay,-21.15,149.2,73.69,few clouds,86,14,11.97,AU
165,Boddam,57.4667,-1.7833,46.78,overcast clouds,96,100,18.23,GB
166,Svetlyy,54.675,20.1347,48.25,overcast clouds,68,100,8.97,RU
167,Behshahr,36.6923,53.5526,62.02,light rain,96,100,6.2,IR
168,Punata,-17.55,-65.8333,69.58,clear sky,66,1,6.49,BO
169,Thiruvananthapuram,8.4833,76.9167,82.38,mist,83,40,4.61,IN
170,Hofn,64.2539,-15.2082,47.46,few clouds,80,15,4.14,IS
171,Malakal,9.5334,31.6605,86.65,scattered clouds,47,46,7.16,SS
172,Kankon,15.0167,74.0167,81.07,clear sky,80,9,4.76,IN
173,Bubaque,11.2833,-15.8333,77.11,broken clouds,72,62,12.57,GW
174,Clyde River,70.4692,-68.5914,17.83,overcast clouds,86,100,8.05,CA
175,Tiznit,29.5833,-9.5,68.81,clear sky,38,0,2.48,MA
176,Lerwick,60.1545,-1.1494,44.6,overcast clouds,80,100,13.71,GB
177,Carauari,-4.8828,-66.8958,76.95,moderate rain,95,73,1.48,BR
178,Provideniya,64.3833,-173.3,31.68,light snow,89,100,15.26,RU
179,Mar Del Plata,-38.0023,-57.5575,53.87,clear sky,64,0,5.99,AR
180,Bethel,41.3712,-73.414,64.76,clear sky,34,0,10.36,US
181,Esperance,-33.8667,121.9,57.85,clear sky,66,0,6.89,AU
